,Rooms,Members,Fans,Lights,Freezes,Microwave Oven,Geyser,AC,Washing Machine,TV,PC,Induction Stove,21July unit,21 August unit,21 sep unit,21 oct unit,21 nov unit,21 dec unit,22 jan unit,22 feb unit,22 mar unit,22 april unit,22 may unit,22 june unit,Pre_paid_22_apr_unit,22_may_unit,22_june_unit,22_july_unit,22_aug_unit,22_sep_unit,22_oct_unit,22_nov_unit,22_dec_unit,23_jan_unit,23_feb_unit,23_mar_unit,23_apr_unit,23_may_unit,23_june_unit,23_jul_unit,23_aug_unit,23_sep_unit,23_oct_unit,23_nov_unit,23_dec_unit
PC,1.0,-0.29277002188455997,0.577350269189626,0.8006407690254357,0.9271726499455305,1.0,0.8703882797784892,0.9622504486493763,0.8164965809277261,1.0,1.0,1.0,0.980987227366478,0.9903033804696191,0.9918054235544729,0.9939649266373577,0.9938112625599329,0.986511607979616,0.9993502898816361,0.9918938982437562,0.9946148282593729,0.9867828762733267,0.9671846440733167,0.9495887342496611,0.36432431481667155,-0.3886134673774894,-0.38796148802591796,-0.01764199384662855,-0.2997690220517893,-0.2846593498484009,-0.34563035636997624,-0.3524426207739935,-0.48720039382555286,-0.5222416823665434,-0.42077261848040437,-0.22800962774458428,-0.27129870151947516,-0.21484441363600024,-0.1218888659276262,0.06863534248579034,-0.20613310720023914,-0.20827475577613347,-0.19718176451304179,-0.29954514679466104,-0.48617351037739354
Induction Stove,1.0,-0.29277002188455997,0.5773502691896261,0.8006407690254358,0.9271726499455305,1.0,0.8703882797784892,0.9622504486493764,0.8164965809277261,1.0,1.0,1.0,0.9809872273664779,0.9903033804696191,0.9918054235544729,0.9939649266373576,0.9938112625599329,0.9865116079796159,0.9993502898816362,0.9918938982437562,0.9946148282593729,0.9867828762733268,0.9671846440733168,0.9495887342496611,0.36432431481667155,-0.38861346737748936,-0.3879614880259179,-0.01764199384662855,-0.29976902205178924,-0.2846593498484009,-0.34563035636997624,-0.35244262077399346,-0.4872003938255529,-0.5222416823665434,-0.4207726184804043,-0.22800962774458428,-0.27129870151947516,-0.21484441363600026,-0.12188886592762618,0.06863534248579034,-0.20613310720023914,-0.20827475577613347,-0.19718176451304176,-0.29954514679466104,-0.4861735103773935
21July unit,0.9809872273664779,-0.10227251998923269,0.7096932974218176,0.702278960375191,0.9692829046408201,0.9809872273664779,0.7753281757846927,0.9483298271145062,0.6996301324481403,0.9809872273664779,0.980987227366478,0.9809872273664779,1.0,0.997734004628032,0.9969786256076771,0.99622201584201,0.996227767823414,0.9474132915049804,0.9738488477680703,0.9951565865977713,0.9953017549479956,0.9993475222257439,0.9833186323860933,0.9855722915096163,0.5043244879217649,-0.20318474505463063,-0.20198662343292226,0.17069179307899532,-0.10951110804877383,-0.09338345394956218,-0.15878735256767734,-0.17143071788874395,-0.341549317241069,-0.36942154360814466,-0.3089182097637201,-0.03540283689690033,-0.07961136282519371,-0.024678301940984696,0.055307536848792194,0.21931742894132744,-0.01272876833737092,-0.014873543885189992,-0.0034655866542176194,-0.11084747260411709,-0.3083936789403474
21 August unit,0.9903033804696191,-0.1634925612257168,0.6826410294928371,0.7217227481439846,0.9531066609551727,0.9903033804696191,0.8160487342052539,0.9645108818115927,0.7301688852813687,0.9903033804696191,0.9903033804696191,0.9903033804696191,0.997734004628032,1.0,0.9999329224650836,0.9986885901693304,0.9985056610164574,0.9667228714976358,0.984708697430516,0.9994671742431817,0.9993683077900767,0.9986039968447361,0.976162479730953,0.982591955664503,0.44614989402977717,-0.2634214804967493,-0.26128537021558657,0.10580287027493472,-0.170583820006955,-0.15364259856582305,-0.22078533715544188,-0.23577287655073526,-0.40371278490464585,-0.43110596748315294,-0.3673536625936199,-0.09715246397104398,-0.14023386309180072,-0.08887581466606202,-0.011886883974305939,0.15447142638168468,-0.07407334662367558,-0.07224325449407386,-0.0645444923483334,-0.16447881224843197,-0.36702362591987747
21 sep unit,0.9918054235544729,-0.17487453293104288,0.6750201431925996,0.7278534696028235,0.9509682995052592,0.9918054235544729,0.8219967574108933,0.9656920824041064,0.7373972852277022,0.9918054235544729,0.9918054235544729,0.9918054235544729,0.9969786256076771,0.9999329224650836,1.0,0.9989299009237411,0.9987375663645285,0.969405997898505,0.9865947373161272,0.9996468644986476,0.99970208889641,0.9982326644461273,0.9755757846396351,0.9808176530468175,0.4380129001820871,-0.2745394895045198,-0.27243613260524274,0.0946559159696432,-0.18195431308304835,-0.1650682976069186,-0.2319699213360133,-0.24661243599587507,-0.4125056022946054,-0.44033795257241115,-0.37411727794035565,-0.10863477398300267,-0.15167869767414233,-0.10020673267926473,-0.022410771577798364,0.14559232640369008,-0.08559495904602593,-0.08376794734779758,-0.07608138738157061,-0.17576119209515634,-0.3777255411036958
21 oct unit,0.9939649266373576,-0.18615699494495713,0.6500812724946758,0.7542640483468611,0.9577578720033675,0.9939649266373576,0.8175845657764889,0.9555635896554974,0.757676570138856,0.9939649266373576,0.9939649266373577,0.9939649266373576,0.99622201584201,0.9986885901693304,0.9989299009237411,1.0,0.999989800130516,0.9675855390460368,0.9898312612377922,0.997641976844248,0.9993326007724792,0.9985988710051269,0.9829700770407536,0.9724377270964496,0.4513229111796143,-0.28521034593230027,-0.284678706953468,0.09110513016832146,-0.19336201356901989,-0.1780276270804101,-0.24065275434141106,-0.2491758014816248,-0.40127635949644624,-0.43353757255064734,-0.3508890744603229,-0.11986370382327918,-0.16426198307316622,-0.10674494058569729,-0.017808316588581896,0.161192073138363,-0.09765978481115464,-0.10136853103443935,-0.08861994727750733,-0.1967355593290327,-0.38737820341966056
21 nov unit,0.9938112625599329,-0.1849919070626281,0.6490411845256625,0.755655940804807,0.9588120403765604,0.9938112625599329,0.8158781233165898,0.9542292631066239,0.7582238241040329,0.9938112625599329,0.9938112625599329,0.9938112625599329,0.996227767823414,0.9985056610164574,0.9987375663645285,0.999989800130516,1.0,0.966791006023622,0.9897097549651802,0.9973320463109516,0.9991575539459837,0.9986409654806719,0.9837706177132362,0.9718765418282652,0.45428604788735066,-0.2840294784054773,-0.28365090879043353,0.09298864550231382,-0.19221145854620608,-0.1770246064835895,-0.2392596413893441,-0.24723017499564498,-0.39833233342052615,-0.4309524698229878,-0.3471395037834763,-0.11867757213750676,-0.16321786884465686,-0.10511384227948345,-0.015214802232992692,0.16455797728413304,-0.09655218098819215,-0.10082233163282332,-0.08755801110122186,-0.19657427802678407,-0.3861707543854002
21 dec unit,0.9865116079796159,-0.3986570885325204,0.535947208689286,0.7820790506069336,0.8555533990274098,0.9865116079796159,0.9363380841197534,0.9810107911001986,0.8292531268191088,0.9865116079796159,0.986511607979616,0.9865116079796159,0.9474132915049804,0.9667228714976358,0.969405997898505,0.9675855390460368,0.966791006023622,1.0,0.9877095940766912,0.9736283369354378,0.9735486222652724,0.9547542981436882,0.9126842975788715,0.9257069508551033,0.21187017035349348,-0.4903263129203575,-0.4855886849531285,-0.15007069652151506,-0.4049623908260961,-0.38649712588861684,-0.45506115045523926,-0.47487484588522483,-0.6194712903656868,-0.646473956420911,-0.5632882720515995,-0.33705892518593494,-0.37481926797399373,-0.33579976562035785,-0.26701482913564745,-0.09208380960640547,-0.31386225692585545,-0.3000543740480053,-0.3039814274310262,-0.3760797973509351,-0.5828835054855896
22 jan unit,0.9993502898816362,-0.3234467250034862,0.5476051982650929,0.8200418250723313,0.9190991826669901,0.9993502898816362,0.8796416943762437,0.9572628872270571,0.8367337931499811,0.9993502898816362,0.9993502898816361,0.9993502898816362,0.9738488477680703,0.984708697430516,0.9865947373161272,0.9898312612377922,0.9897097549651802,0.9877095940766912,1.0,0.9866842755650602,0.9902756690409702,0.9809250474439087,0.963010173170853,0.9377286587785075,0.34593994630172614,-0.41794958046593006,-0.4178594517297025,-0.04678708165361818,-0.33041895795365933,-0.31599548134937017,-0.3747519778370162,-0.3788054331010563,-0.5035303684157106,-0.5408431553923015,-0.42868267104471264,-0.2592537542364104,-0.3026374524804838,-0.24435324644946466,-0.14646036290306702,0.05057677327272361,-0.23784108659853467,-0.24165535799375829,-0.22911739220149324,-0.3328696036503399,-0.5136528782793244
22 feb unit,0.9918938982437562,-0.1862278905781617,0.6764063303372805,0.7217965449645256,0.9427506944914811,0.9918938982437562,0.8329816238772563,0.972251798635351,0.7365254618196523,0.9918938982437562,0.9918938982437562,0.9918938982437562,0.9951565865977713,0.9994671742431817,0.9996468644986476,0.997641976844248,0.9973320463109516,0.9736283369354378,0.9866842755650602,1.0,0.9993729794072356,0.9963789935783229,0.9694329343425859,0.9817194624417455,0.41720980966438226,-0.2857170934406784,-0.28277876903555443,0.07901373154709511,-0.19321124778252483,-0.1755526998284326,-0.2444218091109501,-0.26196597194264015,-0.4322597410439532,-0.4582494701086842,-0.39750269296639,-0.12024684158954692,-0.16242011525937108,-0.11424191747612665,-0.04155795281677941,0.12263718990918386,-0.09682073380414324,-0.09187016955759593,-0.08707345768302675,-0.18147625925748465,-0.3887140521070603
